,Unnamed: 0,Time,Open,High,Low,Last,Change,%Chg,Volume,Classification
451,451,03/16/2017,239.11,239.2,238.1,238.48,-0.47,-0.20%,78343904.0,False
452,452,03/15/2017,237.56,239.44,237.29,238.95,2.05,+0.87%,96081696.0,True
453,453,03/14/2017,237.18,237.24,236.19,236.9,-0.91,-0.38%,59880700.0,False
454,454,03/13/2017,237.62,237.86,237.24,237.81,0.12,+0.05%,57256800.0,True
455,455,03/10/2017,237.97,238.02,236.59,237.69,0.83,+0.35%,81991600.0,True
456,456,03/09/2017,236.7,237.24,235.74,236.86,0.3,+0.13%,90683904.0,True
457,457,03/08/2017,237.34,237.64,236.4,236.56,-0.44,-0.19%,78168704.0,False
458,458,03/07/2017,237.36,237.77,236.76,237.0,-0.71,-0.30%,65103700.0,False
459,459,03/06/2017,237.5,238.12,237.01,237.71,-0.71,-0.30%,55391500.0,False
460,460,03/03/2017,238.17,238.61,237.73,238.42,0.15,+0.06%,81974304.0,True
461,461,03/02/2017,239.56,239.57,238.21,238.27,-1.51,-0.63%,70245904.0,False
462,462,03/01/2017,238.39,240.32,238.37,239.78,3.31,+1.40%,149158096.0,True
463,463,02/28/2017,236.67,236.95,236.01,236.47,-0.64,-0.27%,96961904.0,False
464,464,02/27/2017,236.64,237.31,236.35,237.11,0.37,+0.16%,56515400.0,True
465,465,02/24/2017,235.46,236.79,235.41,236.74,0.3,+0.13%,82381600.0,True
466,466,02/23/2017,236.88,236.9,235.56,236.44,0.16,+0.07%,74615904.0,True
467,467,02/22/2017,236.02,236.54,235.83,236.28,-0.21,-0.09%,62115100.0,False
468,468,02/21/2017,235.52,236.69,235.51,236.49,1.4,+0.60%,88946000.0,True
469,469,02/17/2017,233.95,235.09,233.93,235.09,0.37,+0.16%,77204096.0,True
470,470,02/16/2017,234.96,235.15,233.85,234.72,-0.2,-0.09%,84722400.0,False
471,471,02/15/2017,233.45,235.14,233.39,234.92,1.22,+0.52%,86785800.0,True
472,472,02/14/2017,232.56,233.71,232.16,233.7,0.93,+0.40%,71108896.0,True
473,473,02/13/2017,232.08,233.07,232.05,232.77,1.26,+0.54%,55182000.0,True
474,474,02/10/2017,231.0,231.77,230.62,231.51,0.91,+0.39%,66015800.0,True
475,475,02/09/2017,229.56,230.95,229.52,230.6,1.36,+0.59%,65955200.0,True
476,476,02/08/2017,228.61,229.39,228.31,229.24,0.3,+0.13%,51566200.0,True
477,477,02/07/2017,229.38,229.66,228.72,228.94,0.01,0.00%,57931100.0,True
478,478,02/06/2017,228.87,229.33,228.54,228.93,-0.41,-0.18%,57790100.0,False
479,479,02/03/2017,228.82,229.55,228.46,229.34,1.57,+0.69%,80563104.0,True
480,480,02/02/2017,227.2,228.1,226.82,227.77,0.15,+0.07%,69657504.0,True
481,481,02/01/2017,228.26,228.59,226.94,227.62,0.09,+0.04%,79117600.0,True
482,482,01/31/2017,226.98,227.6,226.32,227.53,-0.02,-0.01%,75880800.0,False
483,483,01/30/2017,228.17,228.2,226.41,227.55,-1.42,-0.62%,79737200.0,False
484,484,01/27/2017,229.42,229.59,228.76,228.97,-0.36,-0.16%,59711100.0,False
485,485,01/26/2017,229.4,229.71,229.01,229.33,-0.24,-0.10%,59970700.0,False
486,486,01/25/2017,228.7,229.57,228.51,229.57,1.97,+0.87%,84437696.0,True
487,487,01/24/2017,226.4,228.08,226.27,227.6,1.45,+0.64%,95555200.0,True
488,488,01/23/2017,226.35,226.8,225.27,226.15,-0.59,-0.26%,75061600.0,False
489,489,01/20/2017,226.7,227.31,225.97,226.74,0.83,+0.37%,129168600.0,True
490,490,01/19/2017,226.84,227.0,225.41,225.91,-0.84,-0.37%,66608700.0,False
491,491,01/18/2017,226.54,226.8,225.9,226.75,0.5,+0.22%,54793300.0,True
492,492,01/17/2017,226.31,226.78,225.8,226.25,-0.8,-0.35%,61240800.0,False
493,493,01/13/2017,226.73,227.4,226.69,227.05,0.52,+0.23%,62717800.0,True
494,494,01/12/2017,226.5,226.75,224.96,226.53,-0.57,-0.25%,72113104.0,False
495,495,01/11/2017,226.36,227.1,225.59,227.1,0.64,+0.28%,74650000.0,True
496,496,01/10/2017,226.48,227.45,226.01,226.46,0.0,0.00%,63771900.0,False
497,497,01/09/2017,226.91,227.07,226.42,226.46,-0.75,-0.33%,46939600.0,False
498,498,01/06/2017,226.53,227.75,225.9,227.21,0.81,+0.36%,71559904.0,True
499,499,01/05/2017,226.27,226.58,225.48,226.4,-0.18,-0.08%,78379000.0,False
500,500,01/04/2017,225.62,226.75,225.61,226.58,1.34,+0.59%,78744400.0,True
501,501,01/03/2017,225.04,225.83,223.88,225.24,1.71,+0.76%,91366496.0,True
502,502,12/30/2016,224.73,224.83,222.73,223.53,-0.82,-0.37%,108998304.0,False
503,503,12/29/2016,224.48,224.89,223.84,224.35,-0.05,-0.02%,48696000.0,False
504,504,12/28/2016,226.57,226.59,224.27,224.4,-1.87,-0.83%,64095000.0,False
505,505,12/27/2016,226.02,226.73,226.0,226.27,0.56,+0.25%,42672400.0,True
506,506,12/23/2016,225.43,225.72,225.21,225.71,0.33,+0.15%,36697800.0,True
507,507,12/22/2016,225.6,225.74,224.92,225.38,-0.39,-0.17%,56219000.0,False
508,508,12/21/2016,226.25,226.45,225.77,225.77,-0.63,-0.28%,67909000.0,False
509,509,12/20/2016,226.15,226.57,225.88,226.4,0.87,+0.39%,89838800.0,True
510,510,12/19/2016,225.25,226.02,225.08,225.53,0.49,+0.22%,90341104.0,True
511,511,12/16/2016,226.01,226.08,224.67,225.04,-1.77,-0.78%,156420096.0,False
512,512,12/15/2016,226.16,227.81,225.89,226.81,0.93,+0.41%,124972496.0,True
513,513,12/14/2016,227.41,228.23,225.37,225.88,-1.88,-0.83%,142501792.0,False
514,514,12/13/2016,227.02,228.34,227.0,227.76,1.51,+0.67%,110477400.0,True
515,515,12/12/2016,226.4,226.96,225.76,226.25,-0.26,-0.11%,102016096.0,False
516,516,12/09/2016,225.41,226.53,225.37,226.51,1.36,+0.60%,88005696.0,True
517,517,12/08/2016,224.57,225.7,224.26,225.15,0.55,+0.24%,99714304.0,True
518,518,12/07/2016,221.52,224.67,221.38,224.6,2.9,+1.31%,110738000.0,True
519,519,12/06/2016,221.22,221.74,220.66,221.7,0.7,+0.32%,59877300.0,True
520,520,12/05/2016,220.65,221.4,220.42,221.0,1.32,+0.60%,67837800.0,True
